Date,Open,High,Low,Close,Adj Close,Volume
4/23/2018,8.805,8.81,8.68,8.71,7.625257,19402600
4/24/2018,8.53,8.63,8.5,8.545,7.480807,19468600
4/25/2018,8.55,8.69,8.51,8.605,7.533334,14151800
4/26/2018,8.69,8.81,8.69,8.73,7.642766,9746400
4/27/2018,8.775,8.84,8.77,8.81,7.712805,9669800
4/30/2018,8.905,8.93,8.795,8.835,7.73469,11187400
5/1/2018,8.815,8.82,8.755,8.82,7.721559,6275800
5/2/2018,8.85,8.93,8.82,8.885,7.778463,14506800
5/3/2018,8.835,8.865,8.74,8.84,7.739067,6899400
5/4/2018,8.755,8.86,8.73,8.83,7.730313,9887600
5/7/2018,8.74,8.775,8.68,8.72,7.634013,11304000
5/8/2018,8.665,8.725,8.615,8.66,7.581485,5599400
5/9/2018,8.72,8.735,8.655,8.735,7.647142,4722000
5/10/2018,8.72,8.765,8.695,8.725,7.63839,6500400
5/11/2018,8.755,8.835,8.745,8.78,7.686538,6216400
5/14/2018,8.81,8.895,8.8,8.825,7.725934,7456800
5/15/2018,8.76,8.81,8.695,8.76,7.66903,4797800
5/16/2018,8.795,8.825,8.755,8.775,7.682161,4999400
5/17/2018,8.745,8.745,8.63,8.68,7.598994,7953800
5/18/2018,8.685,8.725,8.66,8.68,7.598994,7760200
5/21/2018,8.69,8.71,8.625,8.695,7.612125,7475000
5/22/2018,8.725,8.805,8.7,8.76,7.66903,9099000
5/23/2018,8.68,8.95,8.64,8.905,7.795972,21593200
5/24/2018,8.94,9.25,8.94,9.12,7.984196,26357000
5/25/2018,9.1,9.175,9.08,9.16,8.019215,8715600
5/29/2018,9.025,9.055,8.94,9,7.87914,12508000
5/30/2018,9.03,9.07,8.96,9.07,7.940423,10066800
5/31/2018,9.09,9.155,9.08,9.095,7.962308,11609800
6/1/2018,9.135,9.17,9.11,9.145,8.006082,6089400
6/4/2018,9.185,9.23,9.175,9.22,8.071744,4743000
6/5/2018,9.15,9.195,9.09,9.18,8.036724,6070400
6/6/2018,9.23,9.37,9.21,9.37,8.203061,6417200
6/7/2018,9.365,9.4,9.28,9.285,8.128648,6047600
6/8/2018,9.29,9.4,9.28,9.365,8.198685,7230600
6/11/2018,9.365,9.405,9.32,9.375,8.207438,5146000
6/12/2018,9.4,9.53,9.385,9.5,8.316871,7466200
6/13/2018,9.5,9.55,9.405,9.41,8.238079,9597600
6/14/2018,9.245,9.245,9.075,9.08,8.151446,11047200
6/15/2018,9.295,9.385,9.28,9.365,8.407303,11280400
6/18/2018,9.25,9.275,9.205,9.22,8.277133,10883200
6/19/2018,9.15,9.15,9.075,9.1,8.169403,15387000
6/20/2018,9.11,9.135,9.07,9.08,8.151446,7358200
6/21/2018,9.115,9.135,9.08,9.115,8.182869,7455600
6/22/2018,9.195,9.375,9.15,9.36,8.402813,16286600
6/25/2018,9.33,9.355,9.285,9.32,8.366904,9240800
6/26/2018,9.3,9.375,9.275,9.36,8.402813,8451400
6/27/2018,9.27,9.395,9.245,9.33,8.375882,13818000
6/28/2018,9.33,9.53,9.315,9.5,8.528498,15941000
6/29/2018,9.575,9.755,9.565,9.715,8.721511,19214800
7/2/2018,9.695,9.825,9.69,9.805,8.802305,9753600
7/3/2018,9.9,9.93,9.805,9.845,8.838215,7878400
