input,target
116.24,3557.66
93.88,2761.7099999999996
94.72,2934.36
89.27,2726.535
108.65,3258.275
76.98,2324.32
117.45,3558.985
92.39,2868.335
103.19,3195.375
97.51,3069.795
114.62,3548.3100000000004
79.4,2374.1200000000003
96.78,2901.33
96.16,3009.42
111.34,3494.2
89.0,2722.61
98.28,3045.48
91.22,2726.9700000000003
100.42,2985.61
105.83,3189.1150000000002
88.99,2716.3349999999996
111.45,3393.1549999999997
109.02,3333.5999999999995
105.02,3198.5599999999995
109.01,3378.775
93.16,2932.76
98.77,3034.2949999999996
90.64,2886.02
97.32,2956.54
105.3,3205.39
93.08,2878.33
96.03,2931.175
93.13,2919.3149999999996
91.55,2780.215
93.29,2931.4750000000004
99.87,3075.7450000000003
88.83,2857.585
102.34,3118.16
116.6,3566.1699999999996
107.42,3303.59
98.08,2902.39
91.12,2829.2700000000004
92.53,2866.205
116.92,3591.5299999999997
100.51,3008.3350000000005
93.63,2798.3849999999998
101.91,3157.585
121.0,3769.26
101.2,3186.3199999999997
106.17,3213.415
103.0,3109.96
96.48,2949.0400000000004
88.57,2622.595
96.51,2934.1050000000005
97.91,3048.8450000000003
105.87,3330.7650000000003
108.39,3339.855
109.31,3435.985
102.86,3177.77
108.85,3349.495
92.46,2831.4599999999996
112.53,3461.515
105.13,3213.725
97.02,2972.0599999999995
104.89,3186.055
99.24,3059.7699999999995
111.32,3415.9799999999996
115.2,3459.62
121.86,3724.69
86.04,2601.44
85.56,2527.17
94.96,2940.47
101.6,3196.7299999999996
108.76,3455.67
103.16,3244.5
79.78,2409.75
96.94,3035.4300000000003
108.28,3378.5299999999997
102.3,3040.76
107.62,3345.4700000000003
97.78,3033.65
97.99,3016.8349999999996
101.87,3141.465
104.1,3197.97
101.98,3211.9900000000002
101.19,3086.205
93.29,2855.3450000000003
103.78,3185.66
101.22,3120.9900000000002
111.29,3326.1850000000004
111.99,3505.095
101.85,3137.7349999999997
96.25,2984.085
93.61,2884.975
104.23,3189.695
100.77,3075.7249999999995
96.56,2969.89
100.44,3091.02
93.8,2938.6600000000003
106.98,3300.1900000000005
95.53,2926.995
112.25,3542.955
104.03,3128.945
105.94,3184.16
89.05,2753.755
101.69,3110.925
107.41,3207.275
90.46,2763.4199999999996
97.34,2953.3399999999997
100.33,3136.625
86.27,2620.1749999999997
103.15,3218.6050000000005
108.46,3351.0199999999995
91.4,2797.38
103.51,3178.1150000000002
86.88,2691.2699999999995
99.61,2942.705
83.84,2593.47
111.21,3392.9449999999997
104.09,3284.645
99.75,3027.815
92.25,2890.755
112.74,3332.8199999999997
119.67,3710.665
81.42,2517.12
112.36,3434.63
116.28,3560.5
103.38,3160.0599999999995
88.01,2725.4550000000004
108.63,3326.5049999999997
98.19,2925.405
93.96,2876.49
87.7,2806.5899999999997
105.51,3240.3950000000004
107.93,3326.405
93.76,2857.78
105.21,3237.6049999999996
88.56,2729.98
108.02,3301.5499999999997
100.47,3127.495
98.13,2966.8149999999996
98.98,3032.38
108.69,3360.295
107.5,3285.4
105.29,3170.155
101.38,3139.9999999999995
100.78,3044.68
106.18,3236.1200000000003
102.32,3099.35
106.83,3272.775
96.9,2953.9800000000005
75.65,2303.5950000000003
110.39,3420.945
121.87,3825.1650000000004
104.41,3186.625
99.0,3065.63
98.64,3010.75
98.81,3038.6549999999997
100.17,3131.575
88.78,2730.3
94.83,2871.535
90.03,2729.415
102.49,3115.1049999999996
97.03,2978.745
104.95,3263.875
98.25,2948.685
109.86,3318.87
102.14,3089.04
121.91,3650.7850000000003
81.04,2558.0200000000004
93.53,2870.845
109.01,3439.8450000000003
125.28,3769.82
97.51,3058.7650000000003
100.44,3048.34
97.74,2980.7
