input,target
116.24,3588.2699999999995
93.88,2870.95
94.72,2891.63
89.27,2708.955
108.65,3217.215
76.98,2389.5800000000004
117.45,3575.865
92.39,2851.6150000000002
103.19,3197.975
97.51,2969.885
114.62,3573.2400000000002
79.4,2433.84
96.78,3032.5499999999997
96.16,2972.64
111.34,3447.47
89.0,2718.45
98.28,3096.9500000000003
91.22,2681.99
100.42,3036.73
105.83,3220.8250000000003
88.99,2654.1049999999996
111.45,3374.275
109.02,3234.1999999999994
105.02,3227.72
109.01,3281.335
93.16,2894.15
98.77,3019.7549999999997
90.64,2763.1800000000003
97.32,2904.2299999999996
105.3,3192.26
93.08,2878.3500000000004
96.03,2939.095
93.13,2905.5449999999996
91.55,2766.445
93.29,2958.8750000000005
99.87,3056.0750000000003
88.83,2712.705
102.34,3202.2400000000002
116.6,3642.1499999999996
107.42,3293.2599999999998
98.08,2965.4100000000003
91.12,2850.6800000000003
92.53,2802.265
116.92,3633.9100000000003
100.51,3000.755
93.63,2856.075
101.91,3134.715
121.0,3782.65
101.2,3031.08
106.17,3260.955
103.0,3145.15
96.48,2960.0700000000006
88.57,2657.4149999999995
96.51,2892.5750000000003
97.91,2991.6150000000002
105.87,3253.3050000000003
108.39,3402.445
109.31,3375.935
102.86,3161.13
108.85,3376.7549999999997
92.46,2757.7299999999996
112.53,3490.165
105.13,3269.6849999999995
97.02,3023.06
104.89,3195.875
99.24,2987.6499999999996
111.32,3366.1499999999996
115.2,3531.1699999999996
121.86,3761.1600000000003
86.04,2699.4900000000002
85.56,2685.17
94.96,2964.68
101.6,3136.0899999999997
108.76,3374.13
103.16,3170.23
79.78,2497.3199999999997
96.94,3018.13
108.28,3344.5299999999997
102.3,3057.49
107.62,3363.3500000000004
97.78,2932.22
97.99,3071.915
101.87,3179.155
104.1,3116.2799999999997
101.98,3144.2900000000004
101.19,3040.205
93.29,2856.1150000000002
103.78,3213.1200000000003
101.22,3103.1400000000003
111.29,3328.525
111.99,3462.615
101.85,3141.6549999999997
96.25,2959.955
93.61,2824.8149999999996
104.23,3179.6650000000004
100.77,3103.3649999999993
96.56,2958.29
100.44,3190.57
93.8,2905.2500000000005
106.98,3276.01
95.53,2956.465
112.25,3408.225
104.03,3201.165
105.94,3318.61
89.05,2695.385
101.69,3134.3650000000002
107.41,3316.6150000000002
90.46,2691.24
97.34,3063.7
100.33,3039.125
86.27,2628.2749999999996
103.15,3195.6150000000007
108.46,3320.9999999999995
91.4,2845.7900000000004
103.51,3184.8150000000005
86.88,2702.6199999999994
99.61,3038.775
83.84,2653.99
111.21,3307.345
104.09,3230.9249999999997
99.75,3040.435
92.25,2797.105
112.74,3392.8399999999997
119.67,3649.485
81.42,2534.9900000000002
112.36,3399.7000000000003
116.28,3557.17
103.38,3184.24
88.01,2650.7450000000003
108.63,3387.4949999999994
98.19,3117.995
93.96,2850.22
87.7,2763.1699999999996
105.51,3223.045
107.93,3341.445
93.76,2866.21
105.21,3341.0749999999994
88.56,2706.6400000000003
108.02,3351.6999999999994
100.47,3123.335
98.13,2949.535
98.98,2929.58
108.69,3369.045
107.5,3338.31
105.29,3192.2650000000003
101.38,3085.9999999999995
100.78,3132.81
106.18,3296.6600000000003
102.32,3180.2699999999995
106.83,3290.275
96.9,2931.7500000000005
75.65,2261.675
110.39,3294.045
121.87,3751.7850000000003
104.41,3296.885
99.0,3068.62
98.64,3020.98
98.81,2958.6549999999997
100.17,3053.065
88.78,2728.54
94.83,2893.045
90.03,2804.035
102.49,3131.845
97.03,3014.055
104.95,3223.845
98.25,2993.545
109.86,3423.32
102.14,3088.42
121.91,3706.6150000000002
81.04,2440.3400000000006
93.53,2877.145
109.01,3417.2950000000005
125.28,3860.8700000000003
97.51,3043.695
100.44,3129.05
97.74,3028.2599999999998
113.31,3503.975
97.13,2993.1549999999997
106.8,3215.3900000000003
96.8,3000.86
87.27,2715.8849999999998
103.14,3118.75
105.03,3235.125
112.93,3525.175
98.9,3018.78
93.83,2818.965
105.63,3249.9349999999995
102.41,3223.015
102.81,3113.685
99.27,3032.6649999999995
111.6,3378.4999999999995
103.69,3183.5750000000003
119.05,3662.645
111.11,3475.585
106.59,3248.965
83.73,2536.7650000000003
106.02,3203.5199999999995
104.2,3128.92
108.11,3248.405
110.44,3335.0
95.99,2937.015
108.24,3329.7999999999997
94.38,2959.0499999999997
119.55,3624.335
86.68,2622.6000000000004
82.39,2506.515
83.49,2598.535
91.09,2784.835
88.81,2773.255
119.56,3646.41
96.74,3027.0199999999995
86.57,2700.645
111.14,3392.34
94.13,2853.8549999999996
87.63,2692.6449999999995
108.76,3291.3600000000006
106.23,3362.2450000000003
95.65,2938.4950000000003
114.08,3547.82
101.29,3047.215
116.17,3471.675
105.03,3266.635
115.59,3574.475
101.09,3067.865
87.8,2679.96
124.49,3788.6749999999997
94.54,2913.77
98.01,3064.8750000000005
93.0,2782.3500000000004
97.97,3061.195
102.43,3111.395
102.02,3116.5899999999997
106.61,3276.495
117.92,3549.29
98.8,3188.73
87.67,2815.415
88.18,2738.7900000000004
93.34,2894.03
83.26,2512.5300000000007
108.25,3424.8849999999998
95.02,2921.1099999999997
96.89,2961.6949999999997
99.98,3136.77
86.03,2649.495
91.39,2787.285
106.75,3272.605
106.19,3227.305
95.57,2955.705
118.11,3647.805
86.94,2691.04
